raceId,precipitation_mm,temp_max,wind_max,is_wet_race
1047,0.0,23.9,19.9,0
1053,0.7,13.0,15.6,0
1074,0.0,28.5,26.0,0
1052,0.0,23.6,43.3,0
1051,0.0,29.0,23.3,0
1054,0.0,19.3,24.4,0
1055,1.6,21.8,19.8,1
1056,0.0,23.1,20.6,0
1057,0.0,24.2,32.7,0
1058,4.9,26.9,8.8,1
1059,1.7,29.0,29.7,1
1060,2.9,23.5,9.9,1
1061,0.0,28.2,9.4,0
1062,0.6,32.3,25.2,0
1063,7.1,14.3,28.4,1
1064,0.0,21.5,14.0,0
1065,0.0,28.7,8.0,0
1066,1.6,17.7,14.2,1
1067,0.4,18.3,24.7,0
1069,0.7,29.9,19.4,0
1070,0.0,23.1,25.3,0
1071,0.0,23.4,30.7,0
1072,0.0,30.7,18.6,0
1073,0.0,25.9,18.6,0
1075,0.0,31.4,26.1,0
1076,0.0,26.5,27.7,0
1077,2.8,15.5,23.0,1
1078,2.0,33.1,13.2,1
1079,0.0,34.8,23.6,0
1080,3.4,25.1,16.9,1
1081,0.0,26.7,21.1,0
1082,0.0,20.9,26.2,0
1083,0.9,19.0,16.6,0
1084,3.6,20.4,17.3,1
1085,0.0,33.2,14.7,0
1086,7.9,21.0,29.5,1
1087,0.2,20.8,16.4,0
1088,1.8,23.9,15.8,1
1089,0.0,25.8,10.4,0
1091,17.0,28.5,12.8,1
1092,18.1,19.9,19.9,1
1093,0.6,30.2,34.4,0
1094,0.9,24.0,22.4,0
1095,0.4,28.0,24.2,0
1096,0.0,30.4,27.3,0
1098,0.0,32.2,17.3,0
1099,0.0,30.6,27.9,0
1100,0.0,17.8,17.9,0
1101,0.2,26.3,25.0,0
1102,1.9,26.9,25.6,1
1104,6.9,24.4,11.4,1
1105,10.8,22.5,12.0,1
1106,0.3,19.6,22.1,0
1107,0.3,24.0,11.6,0
1108,0.3,22.0,22.7,0
1109,0.0,29.0,16.4,0
1110,2.6,17.8,29.1,1
1111,3.4,17.4,29.7,1
1112,0.0,27.9,10.7,0
1113,2.7,30.6,15.4,1
1114,0.0,26.7,21.4,0
1115,0.0,40.5,26.0,0
1116,0.2,31.2,21.8,0
1117,0.0,25.2,18.2,0
1118,0.3,21.1,21.2,0
1119,0.0,17.8,51.1,0
1120,0.0,29.1,21.2,0
1121,0.0,21.2,14.8,0
1122,0.0,29.2,28.6,0
1123,0.0,21.4,20.4,0
1124,0.0,21.2,12.3,0
1125,4.6,20.2,11.3,1
1126,0.3,28.8,21.1,0
1127,0.2,23.7,10.4,0
1128,0.0,20.8,8.5,0
1129,4.4,19.2,25.6,1
1130,2.8,22.1,17.5,1
1131,0.0,29.0,13.8,0
1132,2.0,16.3,20.9,1
1133,0.2,28.5,10.9,0
1134,0.0,19.8,13.9,0
1135,5.5,18.3,36.2,1
1136,19.1,30.8,21.4,1
1137,0.0,26.6,25.9,0
1138,0.0,32.2,14.0,0
1139,0.0,29.4,13.1,0
1140,2.4,20.9,15.5,1
1141,17.9,21.9,15.2,1
1142,0.0,23.0,25.8,0
1143,0.0,23.1,28.6,0
1144,0.0,30.0,16.3,0
